jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|EMP_NO:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|IN_OUT_STATUS:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=IN_OUT_STATUS,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=IN_OUT_STATUS, 
1011,  1591,  completed,  eof,  2017-01-16 19:14:46,  2017-01-16 19:14:46,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_3.01250537761.modelParams|clParams|alpha_0.0478201247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  1,  None,  3.01250537761,  0.0478201247259,  10,  14,  None,  3,  None,  299,  None,  0.0421624113773,  0,  0, 
1011,  1592,  completed,  eof,  2017-01-16 19:14:46,  2017-01-16 19:14:47,  1,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_323.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_5.68115858132.modelParams|spParams|synPermInactiveDec_0.0521324113773,  1,  None,  None,  0.0498001425553,  10,  14,  None,  3,  None,  323,  5.68115858132,  0.0521324113773,  0,  0, 
1011,  1593,  completed,  eof,  2017-01-16 19:14:47,  2017-01-16 19:14:47,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.0572924571095.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_313.modelParams|spParams|synPermInactiveDec_0.0404445636177,  1,  1,  None,  0.0572924571095,  10,  14,  None,  3,  None,  313,  None,  0.0404445636177,  0,  0, 
1011,  1594,  completed,  eof,  2017-01-16 19:14:47,  2017-01-16 19:14:47,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.0507367485497.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_279.modelParams|spParams|synPermInactiveDec_0.0510914176653,  1,  1,  None,  0.0507367485497,  11,  14,  None,  3,  None,  279,  None,  0.0510914176653,  0,  0, 
1011,  1595,  completed,  eof,  2017-01-16 19:14:47,  2017-01-16 19:14:49,  2,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_3.5.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|EMP_NO:n_297.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1,  None,  3.5,  0.05005,  11,  14,  297,  3,  None,  275,  None,  0.05015,  0,  0, 
1011,  1596,  completed,  eof,  2017-01-16 19:14:48,  2017-01-16 19:14:49,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_1.0.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|EMP_NO:n_297.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1,  None,  1.0,  0.0001,  9,  12,  297,  1,  None,  28,  None,  0.1,  0,  0, 
1011,  1597,  completed,  eof,  2017-01-16 19:14:49,  2017-01-16 19:14:49,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_6.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|sensorParams|encoders|EMP_NO:n_317.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1,  None,  6.0,  0.1,  12,  16,  317,  5,  None,  521,  None,  0.0003,  0,  0, 
1011,  1598,  completed,  eof,  2017-01-16 19:14:49,  2017-01-16 19:14:49,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_4.75.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|EMP_NO:n_269.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  1,  None,  4.75,  0.025075,  10,  13,  269,  2,  None,  151,  None,  0.075075,  0,  0, 
1011,  1599,  completed,  eof,  2017-01-16 19:14:50,  2017-01-16 19:14:50,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_2.25.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|sensorParams|encoders|EMP_NO:n_322.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  1,  None,  2.25,  0.075025,  11,  15,  322,  4,  None,  398,  None,  0.025225,  0,  0, 
1011,  1600,  completed,  eof,  2017-01-16 19:14:50,  2017-01-16 19:14:50,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_2.25.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|sensorParams|encoders|EMP_NO:n_320.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  1,  None,  2.25,  0.075025,  11,  15,  320,  4,  None,  398,  None,  0.025225,  0,  0, 
